title,opening_date,closing_date,flag_reason
Roger Corman Double Feature: THE PIT AND THE PENDU,2025-02-01,2025-02-05,Possible non-film event — review manually
2025 Oscar-Nominated Short Films: ANIMATION,2025-02-14,2025-03-11,Possible non-film event — review manually
2025 Oscar-Nominated Short Films: LIVE ACTION,2025-02-14,2025-03-11,Possible non-film event — review manually
2025 Oscar-Nominated Short Films: DOCUMENTARY,2025-02-16,2025-02-26,Possible non-film event — review manually
Double Feature: GHOSTBUSTERS (1984) + GHOSTBUSTERS,2025-04-09,2025-04-09,Possible non-film event — review manually
Double Feature: WAYNE’S WORLD + WAYNE’S WORLD 2,2025-04-14,2025-04-14,Possible non-film event — review manually
Thom Yorke & Mark Pritchard’s TALL TALES,2025-05-08,2025-05-18,Possible non-film event — review manually
CHRIS CROFTON: NASHVILLE FAMOUS,2025-05-14,2025-05-14,Possible non-film event — review manually
Double Feature: THE HUNGER GAMES + THE HUNGER GAME,2025-07-06,2025-07-06,Possible non-film event — review manually
CatVideoFest 2025,2025-08-01,2025-08-24,Possible non-film event — review manually
2025 Sundance Film Festival Short Film Tour,2025-08-22,2025-09-06,Possible non-film event — review manually
THE LAST CLASS WITH ROBERT REICH,2025-09-12,2025-09-24,Possible non-film event — review manually
HEIGHTENED SCRUTINY,2025-09-23,2025-09-23,Possible non-film event — review manually
Don Hertzfeldt presents Animation Mixtape,2025-09-26,2025-09-28,Possible non-film event — review manually
Taylor Swift | The Official Release Party,2025-10-03,2025-10-05,Possible non-film event — review manually
Triple Feature: A CHINESE GHOST STORY,2025-10-12,2025-10-12,Possible non-film event — review manually
12 Hours of Terror,2025-10-18,2025-10-18,Possible non-film event — review manually
OPRYLAND USA: A CIRCLE BROKEN,2025-12-29,2025-12-30,Possible non-film event — review manually
